,knockouts,carbon source,yield,slope
0,|GLCpts,g6p,0.817,0.0
1,|GLCpts,f6p,0.817,0.0
2,|GLCpts,6pgc,0.764,0.0
3,|GLCpts,r5p,0.828,0.0
4,|GLCpts,succ,0.553,0.0
5,|GLCpts,xu5p_D,0.828,0.0
6,|GLCpts,2pg,0.691,0.0
7,|GLCpts,ac,0.54,0.0
8,|GLCpts,dhap,0.854,0.0
9,|GLCpts,electrons,0.499,45.595
10,|PGI,g6p,0.812,0.0
11,|PGI,f6p,0.0,0.0
12,|PGI,6pgc,0.0,0.0
13,|PGI,r5p,0.0,0.0
14,|PGI,succ,0.0,0.0
15,|PGI,xu5p_D,0.0,0.0
16,|PGI,2pg,0.0,0.0
17,|PGI,ac,0.0,0.0
18,|PGI,dhap,0.0,0.0
19,|PGI,electrons,0.0,0.0
20,|PFK,g6p,0.789,0.0
21,|PFK,f6p,0.789,0.0
22,|PFK,6pgc,0.743,0.0
23,|PFK,r5p,0.809,0.0
24,|PFK,succ,0.553,0.0
25,|PFK,xu5p_D,0.809,0.0
26,|PFK,2pg,0.691,0.0
27,|PFK,ac,0.54,0.0
28,|PFK,dhap,0.854,0.0
29,|PFK,electrons,0.499,45.595
30,|FBP,g6p,0.817,0.0
31,|FBP,f6p,0.817,0.0
32,|FBP,6pgc,0.764,0.0
33,|FBP,r5p,0.828,0.0
34,|FBP,succ,0.0,0.0
35,|FBP,xu5p_D,0.828,0.0
36,|FBP,2pg,0.0,0.0
37,|FBP,ac,0.0,0.0
38,|FBP,dhap,0.0,0.0
39,|FBP,electrons,0.0,0.0
40,|FBA,g6p,0.789,0.0
41,|FBA,f6p,0.789,0.0
42,|FBA,6pgc,0.743,0.0
43,|FBA,r5p,0.809,0.0
44,|FBA,succ,0.0,0.0
45,|FBA,xu5p_D,0.809,0.0
46,|FBA,2pg,0.0,0.0
47,|FBA,ac,0.0,0.0
48,|FBA,dhap,0.0,0.0
49,|FBA,electrons,0.0,0.0
50,|TPI,g6p,0.789,0.0
51,|TPI,f6p,0.789,0.0
52,|TPI,6pgc,0.743,0.0
53,|TPI,r5p,0.809,0.0
54,|TPI,succ,0.0,0.0
55,|TPI,xu5p_D,0.809,0.0
